sentence
city: las vegas, state: null, zip: 89122
city: orem, state: ut ca, zip: 84058
city: quinlan, state: null, zip: 75474
city: houston, state: null, zip: 77062
city: somerset, state: mn, zip: 08873
city: mineral wells, state: null, zip: 76067
city: chaska, state: mn, zip: 55318
city: hanover, state: md, zip: 21076
city: houston, state: null, zip: 77024
city: mesa, state: az, zip: 85209
city: dayton, state: oh, zip: 45420
city: citrus heights, state: null, zip: 95610
city: los angeles, state: ca, zip: 90019
city: wildomar, state: ca, zip: 92595
city: palmetto, state: null, zip: 34221
city: kissimmee, state: null, zip: 34746
city: mastic beach, state: ny, zip: 11951
city: mount ephraim, state: nj pa, zip: 08059
city: colts neck, state: null, zip: 07722
city: ashland, state: wi, zip: 54806
city: herndon, state: va, zip: 20171
city: folsom, state: la, zip: 70437
city: junction, state: null, zip: 76849
city: waite park, state: mn, zip: 56387
city: lacey, state: null, zip: 98503
city: new york, state: ny, zip: 10001
city: san francisco, state: ca, zip: 94102
city: gainesville, state: ny, zip: 32605
city: los angeles, state: ca, zip: 90043
city: fairfield, state: ca, zip: 94534
city: forney, state: null, zip: 75126
city: florissant, state: mo, zip: 63034
city: cheektowaga, state: ny, zip: 14225
city: fowler, state: ks, zip: 67844
city: burlington, state: nc, zip: 27215
city: villas, state: pa, zip: 08251
city: brewerton, state: ny, zip: 13029
city: wilmington, state: de pa nj, zip: 19803
city: masury, state: oh pa, zip: 44438
city: lilburn, state: ga, zip: 30047
city: hillsboro, state: null, zip: 45133
city: plant city, state: null, zip: 33563
city: casper, state: ut, zip: 82604
city: lima, state: oh, zip: 45805
city: shelbyville, state: null, zip: 37160
city: albuquerque, state: nm, zip: 87121
city: anoka, state: mn mn_1pr, zip: 55303
city: blaine, state: mn, zip: 55434
city: gilman, state: ia, zip: 50106
city: cape girardeau, state: mo ky, zip: 63703
city: fort worth, state: null, zip: 76106
city: santa cruz, state: null, zip: 95060
city: juneau, state: null, zip: 99801
city: warrenton, state: va, zip: 20186
city: atlanta, state: ga, zip: 30342
city: vancouver, state: null, zip: 98662
city: charlottesville, state: va, zip: 22902
city: los angeles, state: ca, zip: 90002
city: san ysidro, state: ca, zip: 92173
city: new york, state: ny, zip: 10069
city: pflugerville, state: null, zip: 78660
city: knoxville, state: null, zip: 37921
city: fayetteville, state: ar, zip: 72701
city: arlington, state: null, zip: 76018
city: norfolk, state: sc, zip: 23505
city: irvine, state: ca ny, zip: 92618
city: albuquerque, state: nm, zip: 87108
city: hoboken, state: nj, zip: 07030
city: san rafael, state: ca, zip: 94903
city: earlington, state: ky, zip: 42410
city: mitchell, state: null, zip: 57301
city: portland, state: or, zip: 97210
city: evarts, state: ky, zip: 40828
city: st marys pt, state: wi, zip: 55043
city: summit, state: nc, zip: 60501
city: inwood, state: ny, zip: 11096
city: durham, state: nc, zip: 27704
city: bridgeport, state: null, zip: 76426
city: friendswood, state: null, zip: 77546
city: riverview, state: null, zip: 33569
city: baldwinsville, state: ny, zip: 13027
city: houston, state: null, zip: 77037
city: houston, state: null, zip: 77087
city: tequesta, state: null, zip: 33469
city: englewood, state: nj, zip: 07631
city: lake worth, state: null, zip: 33467
city: scottsdale, state: az, zip: 85259
city: texas city, state: null, zip: 77591
city: miami, state: null, zip: 33142
city: league city, state: null, zip: 77573
city: amarillo, state: null, zip: 79106
city: gadsden, state: al, zip: 35903
city: fort mill, state: sc, zip: 29715
city: kansas city, state: mo109t mo, zip: 64111
city: fort leavenworth, state: null, zip: 66027
city: hobart, state: ny, zip: 13788
city: virginia beach, state: va, zip: 23464
city: wahiawa, state: hi, zip: 96786
city: mcallen, state: il, zip: 78504
city: center, state: null, zip: 75935
city: midland, state: null, zip: 79707
city: new york, state: ct ny, zip: 10036
city: buffalo, state: ny, zip: 14216
city: cheektowaga, state: ny, zip: 14225
city: manchester, state: null, zip: 37355
city: montevallo, state: al, zip: 35115
city: greenville, state: ca, zip: 95947
city: arverne, state: ny, zip: 11692
city: junction city, state: null, zip: 66441
city: kansas city, state: mo, zip: 64114
city: princeton junctio, state: null, zip: 08550
city: warrington, state: pa, zip: 18976
city: massillon, state: oh, zip: 44646
city: las vegas, state: null, zip: 89113
city: loomis, state: ca, zip: 95650
city: fresno, state: id, zip: 93726
city: saugus, state: null, zip: 01906
city: wheeling, state: wv, zip: 26003
city: mesa, state: az, zip: 85203
city: long beach, state: ca, zip: 90806
city: flagstaff, state: az, zip: 86001
city: appleton, state: or wi, zip: 54915
city: aubrey, state: null, zip: 76227
city: guadalupe, state: az, zip: 85283
city: picayune, state: null, zip: 39466
city: garland, state: null, zip: 750425288
city: rochester, state: ny, zip: 14617
city: austin, state: null, zip: 78744
city: middletown, state: null, zip: 45042
city: new boston, state: null, zip: 03070
city: north yarmouth, state: null, zip: 04097
city: bangor, state: null, zip: 04401
city: greensboro, state: nc, zip: 27407
city: saint marys, state: ga, zip: 31558
city: douglas, state: ga, zip: 31535
city: marietta, state: ga, zip: 30067
city: havelock, state: nc, zip: 28532
city: stockbridge, state: ga, zip: 30281
city: forest park, state: ga, zip: 30297
city: morrow, state: ga, zip: 30260
city: somerville, state: null, zip: 02143
city: commerce, state: ga, zip: 30529
city: charlotte, state: nc, zip: 28214
city: tifton, state: ga, zip: 31793
city: wilmington, state: nc, zip: 28405
city: storrs mansfield, state: null, zip: 06268
city: cullowhee, state: nc, zip: 28723
city: riverdale, state: ga, zip: 30274
city: albany, state: ga, zip: 31705
city: blairsville, state: ga, zip: 30512
city: roselle, state: nj, zip: 07203
city: hartford, state: null, zip: 06112
city: hahira, state: ga, zip: 31632
city: bronx, state: ny, zip: 10461
city: old bridge, state: nj, zip: 08857
city: kannapolis, state: nc, zip: 28081
city: memphis, state: null, zip: 38119
city: albany, state: ny, zip: 12202
city: pennsauken, state: nj, zip: 08110
city: scarborough, state: ks me, zip: 04074
city: lauderhill, state: null, zip: 33311
city: acworth, state: null, zip: 30102
city: atlanta, state: ga, zip: 30310
city: raleigh, state: nc, zip: 27603
city: brooklyn, state: null, zip: 11217
city: smyrna, state: ga, zip: 30080
city: sneads ferry, state: nc, zip: 28460
city: milledgeville, state: ga, zip: 31061
city: bronx, state: ny, zip: 10456
city: atlanta, state: ga, zip: 30311
city: marietta, state: ga, zip: 30067
city: brooklyn, state: ny, zip: 11207
city: jonesboro, state: ga, zip: 30236
city: bronx, state: ny, zip: 10472
city: hartford, state: null, zip: 06105
city: douglasville, state: ga, zip: 30135
city: atlanta, state: ga, zip: 30350
city: bronx, state: ny, zip: 10462
city: brooklyn, state: ny, zip: 11212
city: peachtree corners, state: ga, zip: 30092
city: lithonia, state: ga, zip: 30058
city: brooklyn, state: ny, zip: 11213
city: bronx, state: ny, zip: 10451
city: concord, state: nc, zip: 28027
city: bronx, state: ny, zip: 10466
city: stockbridge, state: ga, zip: 30281
city: rome, state: ga, zip: 30161
city: clark, state: nj, zip: 07066
city: brooklyn, state: ny, zip: 11233
city: snellville, state: ga, zip: 30078
city: browns mills, state: nj, zip: 08015
city: stone mountain, state: ga, zip: 30088
city: fairburn, state: ga, zip: 30213
city: rockaway beach, state: ny, zip: 11693
city: huntersville, state: nc, zip: 28078
city: decatur, state: ga, zip: 30034
city: columbus, state: ga, zip: 31906
city: augusta, state: ga, zip: 30909
city: raleigh, state: nc, zip: 27616
city: indianapolis, state: null, zip: 46237
city: atlanta, state: ga, zip: 30339
city: fortson, state: ga, zip: 31808
city: brooklyn, state: ny, zip: 11216
city: new york, state: ny, zip: 10035
city: new york, state: ny, zip: 10035
city: southold, state: ny, zip: 11971
city: hempstead, state: ny, zip: 11550
city: new york, state: ny, zip: 10001
city: buford, state: ga, zip: 30518
city: fayetteville, state: ga, zip: 30214
city: bronx, state: ny, zip: 10460
city: bronx, state: ny, zip: 10455
city: angier, state: nc, zip: 27501
city: brooklyn, state: ny, zip: 11205
city: jersey city, state: nj, zip: 07307
city: new york, state: ks me ny, zip: 10003
city: milledgeville, state: ga, zip: 31061
city: norcross, state: ga, zip: 30071
city: charlotte, state: nc, zip: 28216
city: newark, state: nj, zip: 07108
city: jersey city, state: nj, zip: 07306
city: rocky mount, state: nc, zip: 27804
city: norma, state: nj, zip: 08347
city: rahway, state: nj, zip: 07065
city: atlantic city, state: nj, zip: 08401
city: flushing, state: ny, zip: 11355
city: fayetteville, state: nc sc me, zip: 28301
city: jersey city, state: nj, zip: 07305
city: norcross, state: ga, zip: 30093
city: mount vernon, state: ny, zip: 10550
city: garfield, state: nj, zip: 07026
city: little egg harbor twp, state: nj, zip: 08087
city: elizabeth, state: nj, zip: 07202
city: newark, state: nj, zip: 07107
city: jersey city, state: nj, zip: 07305
city: norfolk, state: null, zip: 23502
city: guttenberg, state: nj, zip: 07093
city: pomona, state: nj, zip: 08240
city: paxton, state: ne, zip: 69155
city: norristown, state: pa, zip: 19401
city: mc kees rocks, state: null, zip: 15136
city: williamsport, state: null, zip: 17701
city: savannah, state: ga, zip: 31419
city: marietta, state: ga, zip: 30062
city: acworth, state: ga, zip: 30102
city: quakertown, state: pa, zip: 189512647
city: waynesboro, state: ga, zip: 30830
city: philadelphia, state: null, zip: 19120
city: carmichaels, state: null, zip: 15320
city: whitehall, state: null, zip: 18052
city: philadelphia, state: null, zip: 19143
city: irwin, state: null, zip: 15642
city: hanover, state: null, zip: 17331
city: philadelphia, state: null, zip: 19135
city: bethlehem, state: null, zip: 18020
city: philadelphia, state: null, zip: 19125
city: philadelphia, state: null, zip: 19121
city: clinton, state: null, zip: 15026
city: philadelphia, state: null, zip: 19126
city: hazleton, state: null, zip: 18201
city: pittsburgh, state: null, zip: 15235
city: yorkana, state: null, zip: 17406
city: savannah, state: ga, zip: 31410
city: markleysburg, state: null, zip: 15459
city: coatesville, state: null, zip: 19320
city: philadelphia, state: null, zip: 19138
city: erie, state: null, zip: 16510
city: mount pleasant mills, state: null, zip: 17853
city: toughkenamon, state: null, zip: 19374
city: scranton, state: null, zip: 18510
city: mountville, state: null, zip: 17554
city: philadelphia, state: null, zip: 19143
city: girard, state: null, zip: 16417
city: erie, state: null, zip: 16510
city: brookhaven, state: null, zip: 19015
city: confluence, state: null, zip: 15424
city: west mifflin, state: null, zip: 15122
city: philadelphia, state: null, zip: 19132
city: castle shannon, state: null, zip: 15234
city: evans city, state: null, zip: 16033
city: philadelphia, state: null, zip: 19142
city: pittsburgh, state: null, zip: 15218
city: johnstown, state: null, zip: 15902
city: east pittsburgh, state: null, zip: 15112
city: philadelphia, state: null, zip: 19124
city: allentown, state: null, zip: 18102
city: philadelphia, state: null, zip: 19143
city: pasadena, state: md, zip: 21122
city: atlanta, state: ga, zip: 30314
city: greenwood, state: null, zip: 19950
city: frederica, state: null, zip: 19946
city: salisbury, state: de, zip: 21801
city: wendell, state: nc, zip: 27591
city: elizabeth city, state: nc, zip: 27909
city: raleigh, state: nc, zip: 27615
city: louisburg, state: nc, zip: 27549
city: atlanta, state: ga, zip: 30344
city: lawrenceville, state: ga, zip: 30045
city: buford, state: ga, zip: 30519
city: villa rica, state: ga, zip: 30180
city: canton, state: ga, zip: 30114
city: new market, state: null, zip: 22844
city: norcross, state: ga, zip: 30093
city: taylorsville, state: ga, zip: 30178
city: east spencer, state: nc, zip: 28039
city: charlotte, state: nc, zip: 28269
city: rocky mount, state: nc, zip: 27803
city: salisbury, state: nc, zip: 28144
city: atlanta, state: ga, zip: 30345
city: winston salem, state: nc, zip: 27107
city: huntersville, state: nc, zip: 28078
city: asheville, state: nc, zip: 28804
city: fairmont, state: nc, zip: 28340
city: saint pauls, state: nc, zip: 28384
city: charlotte, state: nc, zip: 28208
city: ronda, state: nc, zip: 28670
city: millers creek, state: nc, zip: 28651
city: shipman, state: null, zip: 22971
city: elizabeth city, state: nc, zip: 279093207
city: knightdale, state: nc, zip: 27545
city: engelhard, state: nc, zip: 27824
city: winston salem, state: nc, zip: 27127
city: marion, state: nc, zip: 28752
city: kinston, state: nc, zip: 28504
city: greensboro, state: nc, zip: 27406
city: hope mills, state: nc, zip: 28348
city: asheboro, state: nc, zip: 27203
city: waynesville, state: nc, zip: 28786
city: marietta, state: ga, zip: 30064
city: stone mountain, state: ga, zip: 30083
city: durham, state: nc, zip: 27703
city: brunswick, state: ga, zip: 31520
city: woodstock, state: ga, zip: 30189
city: rocky mount, state: nc, zip: 27803
city: charlotte, state: nc, zip: 28216
city: elkin, state: nc, zip: 28621
city: dunn, state: nc, zip: 28334
city: richlands, state: nc, zip: 28574
city: murphy, state: nc, zip: 28906
city: dunn, state: nc, zip: 28334
city: fayetteville, state: nc, zip: 28303
city: greenville, state: nc, zip: 27835
city: jefferson, state: ga, zip: 30549
city: lincolnton, state: nc, zip: 28092
city: tucker, state: ga, zip: 30084
city: decatur, state: ga, zip: 30032
city: indian trail, state: nc, zip: 28079
city: pooler, state: ga, zip: 31322
city: fairburn, state: ga, zip: 30213
city: atlanta, state: ga, zip: 30314
city: canton, state: nc, zip: 28716
city: charlotte, state: nc, zip: 28269
city: cary, state: nc, zip: 27513
city: charlotte, state: nc, zip: 28277
city: columbus, state: ga, zip: 31904
city: new yorknew york, state: null, zip: 10032
city: atlanta, state: ga, zip: 30312
city: columbus, state: ga, zip: 31909
city: savannah, state: ga, zip: 31405
city: savannah, state: ga, zip: 31419
city: stone mountain, state: ga, zip: 30088
city: mars hill, state: nc, zip: 28754
city: walthourville, state: ga, zip: 31333
city: carrollton, state: ga, zip: 30117
city: lithonia, state: ga, zip: 30058
city: rayle, state: ga, zip: 30660
city: augusta, state: ga, zip: 30906
city: atlanta, state: ga, zip: 30340
city: macon, state: ga, zip: 31217
city: gainesville, state: ga, zip: 30504
city: ellenwood, state: ga, zip: 30294
city: decatur, state: ga, zip: 30034
city: adairsville, state: ga, zip: 30103
city: waycross, state: ga, zip: 31503
city: williamsonwilliam, state: ga, zip: 30292
city: jonesboro, state: ga, zip: 30238
city: macon, state: ga, zip: 31204
city: hinesville, state: ga, zip: 31313
city: dacula, state: ga, zip: 30019
city: bishop, state: ga, zip: 30621
city: stockbridge, state: ga, zip: 30281
city: lawrenceville, state: ga, zip: 30044
city: dewy rose, state: ga, zip: 30634
city: atlanta, state: ga, zip: 30315
city: dalton, state: ga, zip: 30720
city: stone mountain, state: ga, zip: 30088
city: smyrna, state: ga, zip: 30080
city: clayton, state: ga, zip: 30525
city: decatur, state: ga, zip: 30032
city: augusta, state: ga, zip: 30906
city: marietta, state: ga, zip: 30062
city: dalton, state: ga, zip: 30721
city: ellenwood, state: ga, zip: 30294
city: albany, state: ga, zip: 31705
city: albany, state: ga, zip: 31707
city: savannah, state: ga, zip: 31405
city: elberton, state: ga, zip: 30635
city: alpharetta, state: ga, zip: 30004
city: monroe, state: ga, zip: 30656
city: decatur, state: ga, zip: 30035
city: augusta, state: ga, zip: 30906
city: atlanta, state: ga, zip: 30349
city: acworth, state: ga, zip: 30101
city: calhoun, state: ga, zip: 30701
city: columbus, state: ga, zip: 31906
city: stockbridge, state: ga, zip: 30281
city: lithonia, state: ga, zip: 30058
city: atlanta, state: ga, zip: 30311
city: warner robins, state: ga, zip: 31093
city: lake park, state: ga, zip: 31636
city: atlanta, state: ga, zip: 30341
city: sylvania, state: ga, zip: 30467
city: augusta, state: ga, zip: 30906
city: atlanta, state: ga, zip: 30314
city: augusta, state: ga, zip: 30901
city: dawson, state: ga, zip: 39842
city: montezuma, state: ga, zip: 31063
city: sycamore, state: null, zip: 31790
city: columbus, state: ga, zip: 31909
city: atlanta, state: ga, zip: 30324
city: ellenwood, state: ga, zip: 30294
city: lilburn, state: ga, zip: 30047
city: thomson, state: ga, zip: 30824
city: athens, state: ga, zip: 30605
city: marietta, state: ga, zip: 30066
city: atlanta, state: ga, zip: 30337
city: kennesaw, state: ga, zip: 30144
city: barnesville, state: ga, zip: 30204
city: atlanta, state: null, zip: 30349
city: atlanta, state: ga, zip: 30310
city: marietta, state: ga, zip: 30008
city: atlanta, state: ga, zip: 30314
city: jackson, state: ga, zip: 30233
city: loganville, state: ga, zip: 30052
city: woodstock, state: ga, zip: 30188
city: augusta, state: ga, zip: 30906
city: dublin, state: ga, zip: 31021
city: conyers, state: ga, zip: 30094
city: valdosta, state: ga, zip: 31602
city: savannah, state: ga, zip: 31415
city: mcdonough, state: ga, zip: 30253
city: douglasville, state: ga, zip: 30134
city: brunswick, state: ga, zip: 31525
city: douglasville, state: ga, zip: 30135
city: gainesville, state: ga, zip: 30506
city: gray, state: ga, zip: 31032
city: marietta, state: ga, zip: 30060
city: auburn, state: ga, zip: 30011
city: atlanta, state: ga, zip: 30349
city: decatur, state: ga, zip: 30034
city: savannah, state: ga, zip: 31404
city: augusta, state: ga, zip: 30907
city: atlanta, state: ga, zip: 30331
city: gainesville, state: ga, zip: 30506
city: lithonia, state: ga, zip: 30058
city: savannah, state: ga, zip: 31401
city: ellenwood, state: ga, zip: 30294
city: jackson, state: ga, zip: 30233
city: eatonton, state: ga, zip: 31024
city: calhoun, state: ga, zip: 30701
city: colbert, state: ga, zip: 30628
city: la fayette, state: ga, zip: 30728
city: rockmart, state: ga, zip: 30153
city: chatsworth, state: ga, zip: 30705
city: vidalia, state: ga, zip: 30474
city: bainbridge, state: ga, zip: 39819
city: conyers, state: ga, zip: 30013
city: macon, state: ga, zip: 31206
city: riverdale, state: ga, zip: 30296
city: hiram, state: ga, zip: 30141
city: cartersville, state: ga, zip: 30121
city: lilburn, state: ga, zip: 30047
city: savannah, state: ga, zip: 31404
city: columbus, state: ga, zip: 31906
city: jonesboro, state: ga, zip: 30238
city: marietta, state: ga, zip: 30067
city: forsyth, state: ga, zip: 31029
city: east dublin, state: ga, zip: 31027
city: stone mountain, state: ga, zip: 30088
city: springfield, state: ga, zip: 31329
city: west point, state: ga, zip: 31833
city: tallahassee, state: null, zip: 32311
city: macon, state: ga, zip: 31204
city: adairsville, state: ga, zip: 30103
city: griffin, state: ga, zip: 30224
city: albany, state: ga, zip: 31707
city: nicholson, state: ga, zip: 30565
city: montezuma, state: ga, zip: 31063
city: eatonton, state: ga, zip: 31024
city: riverdale, state: ga, zip: 30274
city: athens, state: ga, zip: 30605
city: hiram, state: ga, zip: 30141
city: calhoun, state: ga, zip: 30703
city: norcross, state: ga, zip: 30093
city: marble hill, state: ga, zip: 30148
city: trion, state: ga, zip: 30753
city: atlanta, state: ga, zip: 30311
city: atlanta, state: ga, zip: 30316
city: statham, state: ga, zip: 30666
city: lithonia, state: ga, zip: 30058
city: atlanta, state: ga, zip: 30344
city: buford, state: ga, zip: 30518
city: statesboro, state: ga, zip: 30461
city: savannah, state: ga, zip: 31410
city: mcdonough, state: ga, zip: 30253
city: dublin, state: ga, zip: 31021
city: concord, state: ga, zip: 30206
city: lithonia, state: ga, zip: 30038
city: hogansville, state: ga, zip: 30230
city: franklin, state: ga, zip: 30217
city: decatur, state: ga, zip: 30033
city: lithonia, state: ga, zip: 30038
city: lawrenceville, state: ga, zip: 30044
city: dacula, state: ga, zip: 30019
city: marietta, state: ga, zip: 30067
city: valdosta, state: ga, zip: 31602
city: savannah, state: ga, zip: 31415
city: mableton, state: ga, zip: 30126
city: augusta, state: ga, zip: 30906
city: augusta, state: ga, zip: 30904
city: cuthbert, state: ga, zip: 39840
city: ellijay, state: ga, zip: 30540
city: roberta, state: ga, zip: 31078
city: dahlonega, state: ga, zip: 30533
city: oakwood, state: ga, zip: 30566
city: saint petersburg, state: null, zip: 33712
city: folkston, state: ga, zip: 31537
city: thomasville, state: ga, zip: 31792
city: talking rock, state: ga, zip: 30175
city: thomasville, state: ga, zip: 31792
city: valdosta, state: ga, zip: 31602
city: portage, state: null, zip: 46368
city: wiscasset, state: me, zip: 04578
city: pineville, state: nc, zip: 28134
city: toledo, state: null, zip: 45342
city: peachtree city, state: ga, zip: 30269
city: buford, state: ga, zip: 30519
city: angola, state: ks, zip: 46703
city: massillon, state: null, zip: 44646
city: canton, state: ga, zip: 30114
city: mcdonough, state: ga, zip: 30253
city: carrollton, state: null, zip: 44615
city: canton, state: null, zip: 44706
city: atlanta, state: ga, zip: 30337
city: middletown, state: oh, zip: 45044
city: canton, state: null, zip: 44708
city: rex, state: ga, zip: 30273
city: smyrna, state: ga, zip: 30080
city: la porte, state: null, zip: 46350
city: indianapolis, state: null, zip: 46226
city: new waverly, state: null, zip: 46961
city: indianapolis, state: null, zip: 46237
city: evansville, state: null, zip: 47711
city: atlanta, state: ga, zip: 30316
city: marion, state: null, zip: 46953
city: atlanta, state: ga, zip: 30310
city: mishawaka, state: null, zip: 46544
city: kokomo, state: null, zip: 46901
city: knox, state: null, zip: 46534
city: edinburgh, state: null, zip: 46124
city: east chicago, state: null, zip: 46312
city: michigan city, state: null, zip: 46360
city: mitchell, state: null, zip: 47446
city: hebron, state: null, zip: 46341
city: toccoa, state: ga, zip: 30577
city: lawrenceville, state: ga, zip: 30043
city: jonesboro, state: ga, zip: 30236
city: charlotte, state: nc, zip: 28208
city: columbus, state: ga, zip: 31904
city: smyrna, state: ga, zip: 30080
city: atlanta, state: ga, zip: 30306
city: lagrange, state: ga, zip: 30240
city: stone mountain, state: ga, zip: 30083
city: warner robins, state: ga, zip: 31088
city: marietta, state: ga, zip: 30066
city: stone mountain, state: ga, zip: 30083
city: smyrna, state: ga, zip: 30080
city: atlanta, state: ga, zip: 30315
city: athens, state: ga, zip: 30605
city: kansas city, state: mo, zip: 64128
city: bayonne, state: nj, zip: 07002
city: clarkston, state: ga, zip: 30021
city: white, state: ga, zip: 30184
city: jonesboro, state: ga, zip: 30236
city: marietta, state: ga, zip: 30067
city: fort stewart, state: ga, zip: 31315
city: albany, state: ga, zip: 31707
city: blue ridge, state: ga, zip: 30513
city: south bend, state: null, zip: 46617
city: carleton, state: null, zip: 48117
city: savannah, state: ga, zip: 31419
city: fort wayne, state: null, zip: 46809
city: louisville, state: ks, zip: 40241
city: macon, state: ga, zip: 31217
city: fort benning, state: ga, zip: 319050000
city: smyrna, state: ga, zip: 300802744
city: indianapolis, state: null, zip: 46218
city: atlanta, state: ga, zip: 30344
city: la fayette, state: ga, zip: 30728
city: atlanta, state: ga, zip: 30314
city: conyers, state: ga, zip: 30012
city: wichita, state: null, zip: 67219
city: villa rica, state: ga, zip: 30180
city: lawrenceville, state: ga, zip: 30046
city: douglasville, state: ga, zip: 30135
city: pemberton, state: nj, zip: 08068
city: columbus, state: ga, zip: 31906
city: douglasville, state: ga, zip: 30135
city: cleveland, state: ga, zip: 30528
city: kernersville, state: nc, zip: 27285
city: columbus, state: ga, zip: 31906
city: atlanta, state: ga, zip: 30341
city: atlanta, state: ga, zip: 30340
city: norcross, state: ga, zip: 30093
city: atlanta, state: ga, zip: 30337
city: milledgeville, state: ga, zip: 31061
city: covington, state: ga, zip: 30016
city: columbus, state: ga, zip: 31903
city: hoover, state: null, zip: 35242
city: moore, state: ok, zip: 73160
city: roswell, state: ga, zip: 30075
city: lithonia, state: ga, zip: 30058
city: riverdale, state: ga, zip: 30274
city: houma, state: null, zip: 70360
city: cleveland, state: oh, zip: 44130
city: indianapolis, state: null, zip: 46208
city: carrollton, state: ga, zip: 30116
city: atlanta, state: ga, zip: 30331
city: decatur, state: ga, zip: 30035
city: stone mountain, state: ga, zip: 30088
city: atlanta, state: ga, zip: 30307
city: jonesboro, state: ga, zip: 302385932
city: atlanta, state: ga, zip: 30311
city: wichita, state: null, zip: 67214
city: nowata, state: ok, zip: 74048
city: wright city, state: ok, zip: 74766
city: monroe, state: ga, zip: 30655
city: kansas city, state: null, zip: 66112
city: estelline, state: null, zip: 79233
city: new york, state: ks me ny, zip: 10075
city: gainesville, state: ga, zip: 30503
city: dallas, state: null, zip: 75225
city: smyrna, state: ga, zip: 30082
city: denison, state: null, zip: 75020
city: ayden, state: nc, zip: 28513
city: fayetteville, state: nc, zip: 28304
city: queen city, state: null, zip: 75572
city: stone mountain, state: ga, zip: 30088
city: lithonia, state: ga, zip: 30058
city: denison, state: null, zip: 75020
city: atlanta, state: ga, zip: 30328
city: houston, state: null, zip: 77058
